"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.631356667E-1,-3.099778587E-1,7.255909306E-1,2.020242244E-1,8.144828167E-1
9.731896666E-1,-5.161068285E-1,5.429525650E-1,-5.715653300E-3,7.491304391E-1
9.832436666E-1,-3.982205290E-1,1.338930523E-1,-3.843585348E-1,5.694193731E-1
9.932976665E-1,1.840194780E-1,-9.020616531E-2,-6.479252887E-1,6.795641988E-1
1.003351667E0,5.810044903E-1,-1.084407073E-1,-6.784822530E-1,8.998131874E-1
1.013405667E0,7.496574855E-1,3.232925534E-2,-6.416102958E-1,9.872665790E-1
1.023458667E0,7.710670656E-1,3.736008275E-1,-7.024002155E-1,1.107920602E0
1.033512667E0,8.456383610E-1,5.976567757E-1,-7.672587740E-1,1.288791638E0
1.043566667E0,7.167873627E-1,6.238739365E-1,-9.445323193E-1,1.339829883E0
1.053620667E0,2.940325016E-1,4.900896424E-1,-1.147723063E0,1.282151005E0
1.063674667E0,-1.970236856E-1,1.480117393E-1,-1.218539861E0,1.243207626E0
1.073728667E0,-7.208932775E-1,-2.150541598E-1,-1.191267278E0,1.408919138E0
1.083782667E0,-1.217478007E0,-4.129941040E-1,-1.036055862E0,1.651129485E0
1.093836667E0,-1.505433497E0,-2.018797982E-1,-8.333066563E-1,1.732479567E0
1.103890667E0,-1.665797480E0,5.358674937E-1,-6.521802344E-1,1.867451277E0
1.113943667E0,-1.728478462E0,1.044716758E0,-4.249492481E-1,2.063892624E0
1.123997667E0,-2.002173178E0,1.141045543E0,-8.807602465E-2,2.306174268E0
1.134051667E0,-2.345302411E0,1.286793825E0,1.565452389E-1,2.679699266E0
1.144105667E0,-2.454057114E0,1.470684080E0,3.876119256E-1,2.887135429E0
1.154159667E0,-1.707272365E0,1.287524727E0,5.350570697E-1,2.204265165E0
1.164213667E0,-7.901956469E-1,7.896413308E-1,6.748476237E-1,1.305129077E0
1.174267667E0,-3.930703014E-1,3.394109881E-1,7.231315917E-1,8.902939849E-1
1.184321667E0,-1.886925727E-1,-9.026931524E-3,5.109109926E-1,5.447168208E-1
1.194374667E0,-3.937222660E-2,-2.241196829E-1,2.316316739E-1,3.247045378E-1
1.204428667E0,-9.771866798E-3,-3.523906374E-1,-1.997869335E-2,3.530917712E-1
1.214482667E0,7.878129065E-2,-4.117135638E-1,-2.419958637E-1,4.840212272E-1
1.224536667E0,2.059576464E-1,-4.111785436E-1,-3.880036891E-1,6.016919557E-1
1.234590667E0,1.723191994E-1,-8.866834760E-2,-4.766632658E-1,5.145520881E-1
1.244644667E0,1.727314281E-1,3.218605703E-1,-4.611553536E-1,5.882980819E-1
1.254698667E0,9.995815158E-2,5.933006001E-1,-3.558084080E-1,6.989970367E-1
1.264752667E0,-9.836829364E-2,6.269641900E-1,-2.247769830E-1,6.732645163E-1
1.274806667E0,-1.884177536E-1,5.621665156E-1,-3.557738364E-2,5.939681737E-1
1.284859667E0,-1.421931750E-1,4.849709898E-1,2.264977455E-1,5.538203578E-1
1.294913667E0,-9.265614867E-2,4.067960554E-1,4.976553547E-1,6.494066867E-1
1.304967667E0,-8.769887924E-2,1.351607287E-1,6.290626826E-1,6.493684429E-1
1.315021667E0,-8.207385778E-2,-2.151997554E-1,4.893346938E-1,5.408285268E-1
1.325075667E0,-1.305858672E-2,-4.231635815E-1,2.175806686E-1,4.760034566E-1
1.335129667E0,3.297127962E-2,-4.856141835E-1,3.789405048E-2,4.882050795E-1
