"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.590249583E0,-2.011384589E0,5.230097589E-1,2.288817138E0,3.091583909E0
1.600302583E0,-2.115814253E0,5.908833611E-1,2.182973764E0,3.096964248E0
1.610354583E0,-2.165691733E0,5.628345600E-1,1.933426879E0,2.957218782E0
1.620407583E0,-2.121851065E0,3.499292520E-1,1.756743318E0,2.776841642E0
1.630460583E0,-2.054655008E0,1.533037618E-2,1.728253344E0,2.684902577E0
1.640513583E0,-1.898127238E0,-1.784368488E-1,1.931231250E0,2.713739276E0
1.650565583E0,-1.466640145E0,-4.291973233E-1,2.160794690E0,2.646559531E0
1.660618583E0,-9.499146813E-1,-6.487031145E-1,2.165854871E0,2.452362321E0
1.670671583E0,-7.833574744E-1,-6.196497618E-1,2.193833213E0,2.410501800E0
1.680724583E0,-6.532870393E-1,-5.360056342E-1,1.923683664E0,2.101105622E0
1.690776583E0,-6.180401695E-1,-4.362272845E-1,1.316714612E0,1.518553675E0
1.700829583E0,-6.317487473E-1,-2.863920911E-1,4.725555968E-1,8.393066791E-1
1.710882583E0,-6.510240206E-1,-1.420389546E-1,-3.391753453E-1,7.476946268E-1
1.720935583E0,-5.978762656E-1,1.729679480E-2,-8.788938153E-1,1.063113139E0
1.730987583E0,-5.688859165E-1,2.294111207E-1,-1.283774908E0,1.422792558E0
1.741040583E0,-5.788894793E-1,3.759788901E-1,-1.767510965E0,1.897516316E0
1.751093583E0,-5.927538854E-1,4.810865383E-1,-2.593084606E0,2.703125820E0
1.761146583E0,-5.791786241E-1,5.512424549E-1,-3.511638916E0,3.601516902E0
1.771198583E0,-4.671397230E-1,6.846267995E-1,-4.159962984E0,4.241724344E0
1.781251583E0,-6.535999384E-1,9.046591325E-1,-4.461906769E0,4.599370939E0
1.791304583E0,-4.536856087E-1,9.968641685E-1,-4.603032242E0,4.731540407E0
1.801356583E0,-2.551169060E-1,4.664882335E-1,-5.033923504E0,5.061924708E0
1.811409583E0,-6.356452587E-1,6.867787211E-1,-5.239091776E0,5.322010198E0
1.821462583E0,-1.703651696E-1,9.132241340E-1,-5.305798566E0,5.386511026E0
1.831515583E0,-9.459662028E-3,4.350056550E-1,-5.478794873E0,5.496045184E0
1.841567583E0,-4.558346797E-2,3.443317124E-1,-5.346192302E0,5.357463421E0
1.851620583E0,-1.536719171E-1,5.270738661E-1,-4.847207875E0,4.878201113E0
