"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.683753750E-1,-1.233823898E0,-4.994655358E0,-3.995702417E0,6.514180022E0
9.784293750E-1,-1.074996564E0,-4.185822880E0,-3.592549762E0,5.619888308E0
9.884833749E-1,-1.571551473E0,-3.390246041E0,-2.779945831E0,4.657428590E0
9.985373751E-1,-3.052102729E0,-2.174879463E0,-1.681826452E0,4.107794051E0
1.008592375E0,-5.097299720E0,-6.130998570E-1,-2.690011561E-1,5.141081354E0
1.018646375E0,-7.377928417E0,9.462034535E-1,1.261012866E0,7.544486872E0
1.028700375E0,-9.325090406E0,2.028670421E0,2.657962972E0,9.906441435E0
1.038754375E0,-1.032813698E1,2.426594496E0,3.312654659E0,1.111451552E1
1.048808375E0,-1.071020809E1,2.178703542E0,3.100062761E0,1.136070841E1
1.058862375E0,-1.077298262E1,1.180915368E0,2.142424493E0,1.104724845E1
1.068916375E0,-1.044995904E1,-3.480151659E-1,1.040457062E0,1.050739308E1
1.078970375E0,-9.675114090E0,-2.196933991E0,4.499292111E-1,9.931605506E0
1.089024375E0,-8.175695624E0,-4.120124150E0,1.186143948E0,9.231704036E0
1.099078375E0,-5.862944663E0,-5.479288378E0,3.625089517E0,8.805566152E0
1.109132375E0,-3.620398296E0,-5.806299176E0,6.435431514E0,9.393357904E0
1.119186375E0,-2.255306745E0,-5.499622656E0,8.172030589E0,1.010516412E1
1.129240375E0,-2.412208591E0,-5.619569514E0,8.809230330E0,1.072384496E1
1.139294375E0,-3.505531499E0,-6.018137952E0,8.604098310E0,1.106965416E1
1.149348375E0,-4.207722457E0,-5.752102504E0,7.803559524E0,1.056821426E1
1.159402375E0,-4.158477792E0,-4.920790991E0,6.212637979E0,8.950083362E0
1.169456375E0,-3.754381396E0,-4.392399747E0,4.088583684E0,7.078493607E0
1.179511375E0,-3.102730553E0,-4.480989157E0,1.696019399E0,5.708124255E0
1.189565375E0,-2.267197351E0,-4.564418692E0,-2.200927055E-1,5.101229520E0
1.199619375E0,-1.369065026E0,-4.338159805E0,-1.302302980E0,4.731803313E0
1.209673375E0,-8.124782163E-1,-4.095922524E0,-1.863642699E0,4.572730725E0
1.219727375E0,-6.610712913E-1,-3.967424698E0,-2.134634832E0,4.553475579E0
1.229781375E0,-4.001632664E-1,-3.814669113E0,-2.242239972E0,4.442912465E0
1.239835375E0,-5.052871406E-3,-3.818390573E0,-2.513307534E0,4.571306910E0
1.249889375E0,4.217640504E-1,-3.896191286E0,-3.027498230E0,4.952164878E0
1.259943375E0,1.216441296E0,-3.952434191E0,-3.720306746E0,5.562566651E0
1.269997375E0,1.926422207E0,-4.021725743E0,-4.396861757E0,6.262409583E0
1.280051375E0,2.290400272E0,-4.101961236E0,-4.927013597E0,6.807898529E0
1.290105375E0,2.219040852E0,-3.968970702E0,-5.241270449E0,6.938860616E0
1.300159375E0,1.932843912E0,-3.645222065E0,-5.429205807E0,6.819076564E0
1.310213375E0,1.490269036E0,-3.272875758E0,-5.392297597E0,6.481472896E0
1.320267375E0,1.348497445E0,-2.847522102E0,-4.987034681E0,5.898927224E0
1.330321375E0,1.646933485E0,-2.823567229E0,-4.311506442E0,5.410546146E0
1.340375375E0,1.784943708E0,-3.391025767E0,-3.897442297E0,5.465815242E0
1.350429375E0,1.949810193E0,-3.754222936E0,-3.714974670E0,5.630007677E0
1.360484375E0,2.234380876E0,-3.742107505E0,-3.366530319E0,5.507209172E0
1.370538375E0,2.179116648E0,-3.355511241E0,-2.964388647E0,4.979518562E0
1.380592375E0,1.936836244E0,-2.843148092E0,-2.615125101E0,4.321308251E0
1.390646375E0,1.845617487E0,-2.349070649E0,-2.111459393E0,3.658236951E0
1.400700375E0,1.897949044E0,-2.024972349E0,-1.558434414E0,3.182992525E0
1.410754375E0,1.535066455E0,-2.352093075E0,-1.324569177E0,3.105358974E0
1.420808375E0,1.643308357E0,-2.383748438E0,-1.197536078E0,3.133179158E0
1.430862375E0,1.903922121E0,-2.014139213E0,-8.268734765E-1,2.892299424E0
1.440916375E0,2.037060590E0,-1.705905871E0,-6.228068197E-1,2.729032617E0
1.450970375E0,1.952508390E0,-1.677231418E0,-5.169248539E-1,2.625377220E0
1.461024375E0,1.759721305E0,-1.703322571E0,-3.204759496E-1,2.469945685E0
1.471078375E0,1.230470666E0,-1.970229839E0,-7.625295460E-2,2.324151069E0
1.481132375E0,5.903265600E-1,-2.315768709E0,1.027800179E-1,2.392035513E0
1.491186375E0,1.188912897E-1,-2.655080295E0,1.028092539E-1,2.659728605E0
1.501240375E0,-1.282386486E-1,-3.074553991E0,-1.400782371E-1,3.080413820E0
1.511294375E0,1.252736717E-2,-3.476287527E0,-5.559175962E-1,3.520479552E0
1.521348375E0,5.431699352E-1,-3.852472239E0,-1.153999465E0,4.058114179E0
1.531402375E0,1.119600149E0,-3.964306085E0,-1.805557044E0,4.497695351E0
1.541457375E0,1.536615675E0,-3.680959663E0,-2.290365481E0,4.599611484E0
1.551511375E0,1.528143498E0,-3.242970466E0,-2.637219390E0,4.450506275E0
1.561564750E0,1.252535427E0,-2.713602737E0,-2.730303555E0,4.048091194E0
1.571618750E0,8.729948518E-1,-2.062756180E0,-2.437851555E0,3.310619772E0
1.581672750E0,3.846639057E-1,-1.514786119E0,-1.841456024E0,2.415264705E0
1.591726750E0,-1.791396841E-2,-1.302115869E0,-1.180473318E0,1.757652952E0
1.601780750E0,-2.378068453E-1,-1.321641476E0,-7.129410642E-1,1.520385888E0
1.611834750E0,-2.487544410E-1,-1.394221795E0,-4.916917795E-1,1.499164431E0
1.621888750E0,-1.002237613E-1,-1.555248851E0,-5.354236901E-1,1.647884195E0
1.631942750E0,2.514962004E-1,-1.513758763E0,-6.063697118E-1,1.649969745E0
1.641996750E0,6.912062328E-1,-1.088620577E0,-6.524872863E-1,1.445199113E0
1.652050750E0,9.372063428E-1,-7.153811073E-1,-9.916772497E-1,1.540632865E0
1.662104750E0,9.200202066E-1,-5.799724567E-1,-1.446033388E0,1.809369445E0
1.672158750E0,1.008880781E0,-5.625647110E-1,-1.737636956E0,2.086552582E0
1.682212750E0,1.296813760E0,-6.359379119E-1,-2.078430811E0,2.531011179E0
1.692266750E0,1.470958314E0,-8.217618406E-1,-2.402919704E0,2.934797095E0
1.702320750E0,1.567236374E0,-9.571096802E-1,-2.296336073E0,2.940314295E0
1.712374750E0,1.642434345E0,-9.315474075E-1,-1.960189585E0,2.721711660E0
1.722428750E0,1.499571225E0,-7.685808295E-1,-1.684348356E0,2.382532211E0
1.732483750E0,1.544618613E0,-2.892319375E-1,-1.373866467E0,2.087345406E0
1.742537750E0,1.617434721E0,1.828915501E-1,-1.099803377E0,1.964462232E0
1.752591750E0,1.600721039E0,4.583796072E-1,-9.489183158E-1,1.916472197E0
1.762645750E0,1.542816794E0,4.986300856E-1,-9.422179914E-1,1.875284076E0
1.772699750E0,1.452026199E0,2.976361406E-1,-1.119175202E0,1.857288477E0
1.782753750E0,1.566270853E0,1.173957181E-1,-1.365072255E0,2.080963335E0
1.792807750E0,1.809546599E0,-5.978076339E-2,-1.700496612E0,2.483892381E0
1.802861750E0,2.032228159E0,-2.191530579E-1,-2.247664434E0,3.038087353E0
1.812915750E0,1.961297632E0,-2.973829561E-1,-2.981368961E0,3.581017441E0
1.822969750E0,1.968562506E0,-8.884785712E-2,-3.439879546E0,3.964328893E0
1.833023750E0,1.872655890E0,-3.358424324E-1,-3.648055626E0,4.114357796E0
1.843077750E0,2.227161465E0,-3.917652029E-1,-3.907902966E0,4.515023118E0
